image_url,id
https://www.wga.hu/art/a/aachen/adonis.jpg,0
https://www.wga.hu/art/a/aachen/allegory.jpg,1
https://www.wga.hu/art/a/aachen/allegorz.jpg,2
https://www.wga.hu/art/a/aachen/antiope.jpg,3
https://www.wga.hu/art/a/aachen/athena.jpg,4
https://www.wga.hu/art/a/aachen/bacchus.jpg,5
https://www.wga.hu/art/a/aachen/bacchus1.jpg,6
https://www.wga.hu/art/a/aachen/davidbat.jpg,7
https://www.wga.hu/art/a/aachen/gods.jpg,8
https://www.wga.hu/art/a/aachen/gods1.jpg,9
https://www.wga.hu/art/a/aachen/j_couple.jpg,10
https://www.wga.hu/art/a/aachen/k_couple.jpg,11
https://www.wga.hu/art/a/aachen/portrai1.jpg,12
https://www.wga.hu/art/a/aachen/portrai2.jpg,13
https://www.wga.hu/art/a/aachen/portrai3.jpg,14
https://www.wga.hu/art/a/aachen/portrai4.jpg,15
https://www.wga.hu/art/a/aachen/rudolf2.jpg,16
https://www.wga.hu/art/a/aachen/selfpor1.jpg,17
https://www.wga.hu/art/a/aachen/selfport.jpg,18
https://www.wga.hu/art/a/aachen/war.jpg,19
https://www.wga.hu/art/a/aachen/z_scene.jpg,20
https://www.wga.hu/art/a/aagaard/deerlake.jpg,21
https://www.wga.hu/art/a/aagaard/rosegard.jpg,22
https://www.wga.hu/art/a/abadia/michael.jpg,23
https://www.wga.hu/art/a/abadie/angoule1.jpg,24
https://www.wga.hu/art/a/abadie/angoule2.jpg,25
https://www.wga.hu/art/a/abadie/angoule3.jpg,26
https://www.wga.hu/art/a/abadie/sacreco1.jpg,27
https://www.wga.hu/art/a/abadie/sacreco2.jpg,28
https://www.wga.hu/art/a/abadie/sacreco3.jpg,29
https://www.wga.hu/art/a/abaquesn/albarell.jpg,30
https://www.wga.hu/art/a/abaquesn/floor1.jpg,31
https://www.wga.hu/art/a/abaquesn/floor2.jpg,32
https://www.wga.hu/art/a/abaquesn/theflood.jpg,33
https://www.wga.hu/art/a/abbate/chimney1.jpg,34
https://www.wga.hu/art/a/abbate/chimney2.jpg,35
https://www.wga.hu/art/a/abbate/deerhunt.jpg,36
https://www.wga.hu/art/a/abbate/galerie1.jpg,37
https://www.wga.hu/art/a/abbate/galerie2.jpg,38
https://www.wga.hu/art/a/abbate/meeting.jpg,39
https://www.wga.hu/art/a/abbate/moses.jpg,40
